Date,Price,Open,High,Low,Vol.,Change %
"Sep 27, 2018","27,742.00","27,823.00","27,929.00","27,710.00",41.97K,-0.27%
"Sep 26, 2018","27,818.00","27,460.00","28,037.00","27,393.00",230.94K,1.29%
"Sep 24, 2018","27,465.00","27,945.00","27,945.00","27,388.00",192.25K,-1.70%
"Sep 21, 2018","27,940.00","27,456.00","27,982.00","27,456.00",282.99K,1.75%
"Sep 20, 2018","27,459.00","27,403.00","27,625.00","27,294.00",245.71K,0.18%
"Sep 19, 2018","27,411.00","27,051.00","27,494.00","27,017.00",240.23K,1.37%
"Sep 18, 2018","27,041.00","26,890.00","27,169.00","26,605.00",275.78K,0.56%
"Sep 17, 2018","26,891.00","27,265.00","27,282.00","26,711.00",225.06K,-1.34%
"Sep 14, 2018","27,255.00","26,983.00","27,345.00","26,959.00",254.68K,0.99%
"Sep 13, 2018","26,987.00","26,328.00","27,040.00","26,222.00",275.97K,2.45%
"Sep 12, 2018","26,341.00","26,286.00","26,436.00","26,020.00",272.07K,0.14%
"Sep 11, 2018","26,305.00","26,640.00","26,711.00","26,290.00",247.15K,-1.22%
"Sep 10, 2018","26,631.00","26,858.00","26,892.00","26,356.00",250.76K,-0.76%
"Sep 07, 2018","26,835.00","26,988.00","27,165.00","26,584.00",280.54K,-0.56%
"Sep 06, 2018","26,986.00","27,119.00","27,224.00","26,768.00",267.99K,-0.44%
"Sep 05, 2018","27,104.00","27,877.00","27,877.00","27,100.00",258.15K,-2.79%
"Sep 04, 2018","27,882.00","27,646.00","27,950.00","27,452.00",209.06K,0.86%
"Sep 03, 2018","27,645.00","27,747.00","27,860.00","27,516.00",182.63K,-0.43%
"Aug 31, 2018","27,765.00","28,063.00","28,069.00","27,634.00",193.67K,-1.68%
"Aug 30, 2018","28,239.00","28,341.00","28,574.00","28,227.00",28.13K,-0.37%
"Aug 29, 2018","28,345.00","28,285.00","28,474.00","28,190.00",139.16K,0.19%
"Aug 28, 2018","28,292.00","28,255.00","28,549.00","28,201.00",219.45K,0.14%
"Aug 27, 2018","28,252.00","27,594.00","28,273.00","27,520.00",210.85K,2.38%
"Aug 24, 2018","27,595.00","27,699.00","27,782.00","27,447.00",200.22K,-0.33%
"Aug 23, 2018","27,687.00","27,865.00","27,982.00","27,580.00",202.77K,-0.60%
"Aug 22, 2018","27,855.00","27,629.00","27,907.00","27,498.00",209.06K,0.83%
"Aug 21, 2018","27,627.00","27,519.00","27,700.00","27,432.00",187.50K,0.39%
"Aug 20, 2018","27,519.00","27,135.00","27,555.00","26,875.00",221.84K,1.41%
"Aug 17, 2018","27,136.00","27,063.00","27,332.00","27,005.00",183.08K,0.34%
"Aug 16, 2018","27,044.00","27,219.00","27,366.00","26,642.00",295.77K,-0.69%
"Aug 15, 2018","27,231.00","27,623.00","27,728.00","27,150.00",215.69K,-1.47%
"Aug 14, 2018","27,637.00","27,881.00","28,024.00","27,444.00",214.99K,-0.83%
